states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Connecticut,2010,NA,NA,NA,NA,NA,560874,49,"567,278 (b)",49.5,17629,1.5,18,0,1145799,2013
Delaware,2012,(c) ,(c),0,0,0,113793,28.6,275993,69.3,8243,2.1,0,0,398029,2013
Maine ,2010,131407,122936,0,0,254343,218065,38.1,109387,19.1,242690,42.4,2624,0.5,572766,2013
Maryland,2010,278792,480523,0,0,759315,776319,41.8,1044961,56.2,34574,1.9,2026,0.1,1857880,2013
Massachusetts ,2010,218656,358145,0,0,576801,964866,42,1112283,48.4,217290,9.5,2600,0.1,2297039,2013
New Hampshire,2012,108728,85113,0,0,193841,295026,42.5,378934,54.6,19251,2.8,666,0.1,693877,2013
New Jersey,2009,334215,209304,0,0,543519,1174445,48.5,1087731,44.9,161508,6.7,0,0,2423684,2013
New York ,2010,479684,(c),19051,0,498735,"1,548,184 (d)",33.3,"2,911,721 (d)",62.6,194447,4.2,0,0,4654352,2013
Pennsylvania,2010,852416,1021068,0,0,1873484,2172763,54.5,1814788,45.5,0,0,0,0,3987551,2013
Rhode Island,2010,18182,"73,142 (c)",0,0,91324,114911,33.6,78896,23,148483,43.4,0,0,342290,2013
Vermont,2012,"9,322 (c)","35,712 (c)",753,0,45787,110940,37.6,170749,57.8,12754,4.3,969,0.3,295412,2013
Illinois,2010,767485,915726,5086,0,1688297,1713385,45.9,1745219,46.8,271142,7.3,243,0,3729989,2013
Indiana ,2012,"554,412 (c)","207,365 (c)",0,0,761777,1275424,49.5,1200016,46.6,101889,4,0,0,2577329,2013
Iowa ,2010,227525,"58,827 (c)",0,0,286352,592494,52.8,484798,43.2,38014,3.4,6707,0.6,1122013,2013
Kansas,2010,321080,"74,754 (c)",0,0,395834,530760,63.3,270166,32.2,37857,4.5,7,0,838790,2013
Michigan ,2010,1048384,528822,0,0,1577206,1874834,58.1,1287320,39.9,63907,2,27,0,3226088,2013
Minnesota ,2010,130408,442137,17714,0,590259,910462,43.2,919232,43.6,275463,13.1,1864,0.1,2107021,2013
Nebraska,2010,170090,"57,463 (c)",0,0,227553,360645,73.9,127343,26.1,0,0,0,0,487988,2013
North Dakota,2012,"95,483 (c)","52,238 (c)",0,0,147721,200525,63.1,109048,34.3,7974,2.5,267,0.1,317814,2013
Ohio,2010,"746,719 (c)","630,785 (c)",5331,0,1382835,1889186,49,1812059,47,150591,3.9,633,0,3852469,2013
South Dakota ,2010,83817,(c),0,0,83817,195046,61.5,122037,38.5,0,0,0,0,317083,2013
Wisconsin,2010,618828,235762,2437,0,857027,1128941,52.3,1004303,46.5,25671,2.2,59,0,2158974,2013
Alabama,2010,492897,318330,0,0,811227,860272,57.9,625052,42.1,0,0,0,0,1485324,2013
