state,dem_fedvotes,rep_fedvotes,oth_fedvotes,year
AL,"1,489,194","2,489,549","29,225",2012
AK,"205,567","349,972","34,760",2012
AS,7659,,"5,417",2012
AZ,"3,008,768","3,469,774","237,451",2012
AR,"699,179","1,285,335","123,008",2012
CA,"23,111,612","14,083,857","625,946",2012
CO,"2,403,556","2,329,039","287,766",2012
CT,"2,582,464","1,730,041","224,730",2012
DE,"757,932","410,941","32,714",2012
DC,"513,734","21,381","37,212",2012
FL,"12,153,609","11,448,236","575,814",2012
GA,"3,222,696","4,182,786","48,155",2012
GU,19765,12995,246,2012
HI,"861,155","419,540","7,024",2012
ID,"421,084","827,725","38,683",2012
IL,"5,763,214","4,343,034","193,899",2012
IN,"3,576,622","3,905,924","255,836",2012
IA,"1,594,931","1,457,122","66,976",2012
KS,"636,231","1,433,615","147,864",2012
KY,"1,470,712","2,288,864","73,690",2012
LA,"1,168,331","2,391,876","236,062",2012
ME,"922,025","773,657","411,898",2012
MD,"4,778,744","2,523,566","623,746",2012
MA,"5,698,230","3,343,999","173,525",2012
MI,"7,787,638","6,121,182","378,828",2012
MN,"4,961,746","3,398,608","232,797",2012
MS,"1,477,814","2,124,007","133,506",2012
MO,"3,837,475","4,012,185","309,356",2012
MT,"642,901","741,447","65,506",2012
NE,"911,299","1,426,933","17,234",2012
NV,"1,430,763","1,378,462","177,240",2012
NH,"710,486","641,554","41,348",2012
NJ,"6,071,704","4,237,359","158,764",2012
NM,"1,233,241","1,010,317","62,083",2012
NY,"12,822,779","5,957,238","1,450,545",2012
NC,"4,396,748","4,407,562","85,174",2012
ND,"417,859","519,878","21,812",2012
MP,,2503,"9,829",2012
OH,"8,002,851","7,717,396","449,932",2012
OK,"853,871","1,748,197","58,739",2012
OR,"1,920,148","1,442,014","135,276",2012
PA,"8,805,176","7,899,636","238,944",2012
PR,,,"1,856,345",2012
RI,"783,390","465,352","43,271",2012
SC,"1,580,132","2,097,774","88,946",2012
SD,"298,828","418,250","8,166",2012
TN,"2,463,104","4,338,335","262,342",2012
TX,"9,452,951","13,439,250","630,680",2012
UT,"877,995","2,046,081","99,162",2012
VT,"407,839","233,139","241,005",2012
VI,"11,512",2131,"5,527",2012
VA,"5,787,912","5,484,825","124,403",2012
WA,"5,463,759","4,015,725","79,450",2012
WV,"895,268","1,042,695","34,031",2012
WI,"4,613,104","4,190,087","140,704",2012
WY,"179,878","522,664","33,002",2012
