state_name,tot_senate,tot_house,senate_elections,house_elections,year
Alabama,35,105,…,…,2012
Alaska,20,40,19 (a) ,40,2012
Arizona,30,60,30,60,2012
Arkansas,35,100,35 (a),100,2012
California,40,80,20,80,2012
Colorado,35,65,20 (b),65,2012
Connecticut,36,151,36,151,2012
Delaware,21,41,21 (a),41,2012
Florida,40,120,40 (a)  ,120,2012
Georgia,56,180,56,180,2012
Hawaii ,25,51,25 (a),51,2012
Idaho,35,70,35,70,2012
Illinois,59,118,59 (a),118,2012
Indiana,50,100,25,100,2012
Iowa,50,100,25 (c),100,2012
Kansas,40,125,40,125,2012
Kentucky,38,100,19 (d),100,2012
Louisiana,39,105,…,…,2012
Maine,35,151,35,151,2012
Maryland,47,141,. . .,. . .,2012
Massachusetts,40,160,40,160,2012
Michigan,38,110,…,110,2012
Minnesota,67,134,…,134,2012
Mississippi,52,122,…,…,2012
Missouri,34,163,17 (d),163,2012
Montana,50,100,25,100,2012
Nebraska,49,U,25 (d),U,2012
Nevada,21,42,10,42,2012
New Hampshire,24,400,24,400,2012
New Jersey,40,80,…,…,2012
New Mexico,42,70,42,70,2012
New York,62,150,62,150,2012
North Carolina,50,120,50,120,2012
North Dakota,47,94,25(c) (e),47,2012
Ohio,33,99,16 (c),99,2012
Oklahoma,48,101,24 (d),101,2012
Oregon,30,60,16 (f),60,2012
Pennsylvania,50,203,25 (d),203,2012
Rhode Island,38,75,38,75,2012
South Carolina,46,124,46,124,2012
South Dakota,35,70,35,70,2012
Tennessee,33,99,16 (c) ,99,2012
Texas,31,150,31 (a),150,2012
Utah,29,75,16 (g) ,75,2012
Vermont,30,150,30,150,2012
Virginia,40,100,…,…,2012
Washington,49,98,26 (c) (h),98,2012
West Virginia,34,100,17,100,2012
Wisconsin,33,99,16 (c),99,2012
Wyoming,30,60,15 (c),60,2012
