state_name,elections,year
Alabama,. . .,2009
Alaska,. . .,2009
Arizona,. . .,2009
Arkansas,. . .,2009
California,. . .,2009
Colorado ,. . .,2009
Connecticut,. . .,2009
Delaware,. . .,2009
Florida ,. . .,2009
Georgia,. . .,2009
Hawaii,. . .,2009
Idaho,. . .,2009
Illinois,. . .,2009
Indiana,. . .,2009
Iowa,. . .,2009
Kansas,. . .,2009
Kentucky,. . .,2009
Louisiana ,. . .,2009
Maine (e),. . .,2009
Maryland,. . .,2009
Massachusetts,. . .,2009
Michigan,. . .,2009
Minnesota ,. . .,2009
Mississippi,. . .,2009
Missouri,. . .,2009
Montana,. . .,2009
Nebraska ,. . .,2009
Nevada,. . .,2009
New Hampshire,. . .,2009
New Jersey,"G,LG",2009
New Mexico ,. . .,2009
New York,. . .,2009
North Carolina,. . .,2009
North Dakota ,. . .,2009
Ohio,. . .,2009
Oklahoma,. . .,2009
Oregon,. . .,2009
Pennsylvania,. . .,2009
Rhode Island,. . .,2009
South Carolina,. . .,2009
South Dakota ,. . .,2009
Tennessee ,. . .,2009
Texas ,. . .,2009
Utah,. . .,2009
Vermont,. . .,2009
Virginia,"G,LG,AG",2009
Washington,. . .,2009
West Virginia,. . .,2009
Wisconsin,SP,2009
Wyoming,. . .,2009
